ハイデリン	はいでりん	名前
エオルゼア	えおるぜあ	地名
サベネア島	さべねあとう	地名
ラノシア	らのしあ	地名
リムサ・ロミンサ	りむさろみんさ	地名
溺れた海豚亭	おぼれたいるかてい	地名
コスタ・デル・ソル	こすたでるそる	地名
ミスト・ヴィレッジ	みすとびれっじ	地名
ウルヴズジェイル	うるぶずじぇいる	地名
グリダニア	ぐりだにあ	地名
ミィ・ケット野外音楽堂	みぃけっとやがいおんがくどう	地名
カーライン・カフェ	かーらいんかふぇ	地名
黒衣森	こくえのもり	地名
ベントブランチ牧場	べんとぶらんちぼくじょう	地名
十二神大聖堂	じゅうにしんだいせいどう	地名
クォーリーミル	くぉーりーみる	地名
ラベンダーベッド	らべんだーべっど	地名
ザナラーン	ざならーん	地名
ウルダハ	うるだは	地名
クイックサンド	くいっくさんど	地名
ホライズン	ほらいずん	地名
ベスパーベイ	べすぱーべい	地名
キャンプ・ドライボーン	きゃんぷどらいぼーん	地名
リトルアラミゴ	りとるあらみご	地名
ゴールドソーサー	ごーるどそーさー	地名
ゴブレットビュート	ごぶれっとびゅーと	地名
クルザス	くるざす	地名
イシュガルド	いしゅがるど	地名
フォルタン伯爵邸	ふぉるたんはくしゃくてい	地名
聖ガンリオル占星院	せいがんりおるせんせいいん	地名
アバラシア	あばらしあ	地名
アジス・ラー	あじすらー	地名
ドラヴァニア	どらばにあ	地名
テイルフェザー	ているふぇざー	地名
白亜の宮殿	はくあのきゅうでん	地名
イディルシャイア	いでぃるしゃいあ	地名
モードゥナ	もーどぅな	地名
レブナンツトール	れぶなんつとーる	地名
ギラバニア	ぎらばにあ	地名
アジムステップ	あじむすてっぷ	地名
ドマ	どま	地名
クガネ	くがね	地名
シャーレアン	しゃーれあん	地名
ガレマール帝国	がれまーるていこく	地名
サスタシャ浸食洞	さすたしゃしんしょくどう	地名
サスタシャ	さすたしゃ	地名
タムタラの墓所	たむたらのぼしょ	地名
カッパーベル銅山	かっぱーべるどうざん	地名
ハラタリ修練所	はらたりしゅうれんじょ	地名
トトラクの千獄	ととらくのせんごく	地名
ハウケタ	はうけた	地名
ブレイフロクスの野営地	ぶれいふろくすのやえいち	地名
ブレイフロクス	ぶれいふろくす	地名
カルン埋没寺院	かるんまいぼつじいん	地名
カッターズクライ	かったーずくらい	地名
ストーンヴィジル	すとーんびじる	地名
ゼーメル要塞	ぜーめるようさい	地名
オーラムヴェイル	おーらむべいる	地名
ワンダラーパレス	わんだらーぱれす	地名
カストルム・メリディアヌム	かすとるむめりてぃあぬむ	地名
魔導城プラエトリウム	まどうじょうぷらえとりうむ	地名
古城アムダプール	こじょうあむだぷーる	地名
シリウス大灯台	しりうすだいとうだい	地名
古アムダプール市街	こあむだぷーるしがい	地名
ハルブレーカー・アイル	はるぶれーかーあいる	地名
スノークローク大氷壁	すのーくろーくだいひょうへき	地名
黙約の塔	もくやくのとう	地名
ダスクヴィジル	だすくびじる	地名
ソーム・アル	そーむある	地名
ドラゴンズエアリー	どらごんずえありー	地名
イシュガルド教皇庁	いしゅがるどきょうこうちょう	地名
グブラ幻想図書館	ぐぶらげんそうとしょかん	地名
魔科学研究所	まかがくけんきゅうじょ	地名
ネバーリープ	ねばーりーぷ	地名
フラクタル・コンティニアム	ふらくたるこんてぃにあむ	地名
聖モシャーヌ植物園	せいもしゃーぬしょくぶつえん	地名
逆さの塔	さかさのとう	地名
ソール・カイ	そーるかい	地名
ゼルファトル	ぜるふぁとる	地名
バエサルの長城	ばえさるのちょうじょう	地名
クリスタルタワー	くりすたるたわー	地名
古代の民の迷宮	こだいのたみのめいきゅう	地名
シルクスの塔	しるくすのとう	地名
闇の世界	やみのせかい	地名
魔航船ヴォイドアーク	まこうせんぼいどあーく	地名
禁忌都市マハ	きんきとしまは	地名
影の国ダン・スカー	かげのくにだんすかー	地名
シールロック	しーるろっく	地名
カルテノー平原	かるてのーへいげん	地名
ラールガーズリーチ	らーるがーずりーち	地名
紅玉海	こうぎょくかい	地名
ヤンサ	やんさ	地名
アラガーナ	あらがーな	地名
アラギリ	あらぎり	地名
ポルタ・プレトリア	ぽるたぷれとりあ	地名
アラミガン・クォーター	あらみがんくぉーたー	地名
碧のタマミズ	あおのたまみず	地名
オノコロ島	おのころとう	地名
再会の市	さいかいのいち	地名
明けの玉座	あけのぎょくざ	地名
ナマイ村	なまいむら	地名
シロガネ	しろがね	地名
醴泉神社	れいせんじんじゃ	地名
スカラ	すから	地名
獄之蓋	ごくのふた	地名
ガンエン廟	がんえんびょう	地名
紫水宮	しすいきゅう	地名
バルダム覇道	ばるだむはどう	地名
ドマ城	どまじょう	地名
ラバナスタ	らばなすた	地名
リドルアナ	りどるあな	地名
大迷宮バハムート	だいめいきゅうばはむーと	地名
次元の狭間	じげんのはざま	地名
イサリ村	いさりむら	地名
アメノミハシラ	あめのみはしら	地名
ベッコウ島	べっこうとう	地名
オンサル・ハカイル	おんさるはかいる	地名
モル・イロー	もるいろー	地名
エウレカ	えうれか	地名
アクアポリス	あくあぽりす	地名
ディアデム諸島	でぃあでむしょとう	地名
ノルヴラント	のるぶらんと	地名
クリスタリウム	くりすたりうむ	地名
ミーン工芸館	みーんこうげいかん	地名
レイクランド	れいくらんど	地名
イル・メグ	いるめぐ	地名
リダ・ラーン	りだらーん	地名
プラ・エンニ茸窟	ぷらえんにじょうくつ	地名
ヴォレクドルフ	ぼれくどるふ	地名
リェー・ギア城	りぇーぎあじょう	地名
コルシア島	こるしあとう	地名
スティルタイド	すてぃるたいど	地名
ライト村	らいとむら	地名
トメラの村	とめらのむら	地名
コメラの村	こめらのむら	地名
ドワーフの洞窟	どわーふのどうくつ	地名
アム・アレーン	あむあれーん	地名
モルド・スーク	もるどすーく	地名
旅立ちの宿	たびだちのやど	地名
トゥワイン	とぅわいん	地名
ナバスアレン	なばすあれん	地名
無の大地	むのだいち	地名
ラケティカ大森林	らけてぃかだいしんりん	地名
スリザーバウ	すりざーばう	地名
ファノヴの里	ふぁのぶのさと	地名
テンペスト	てんぺすと	地名
オンドの湖溜まり	おんどのこだまり	地名
ホルミンスター	ほるみんすたー	地名
ドォーヌ・メグ	どぉーぬめぐ	地名
キタンナ神影洞	きたんなしんえいどう	地名
マリカの大井戸	まりかのおおいど	地名
グルグ火山	ぐるぐかざん	地名
